[p_N]=Pa F theta_1 theta_2 [q_t]=J/s [q_c]=J/s [q_p]=J/s [q_0]=J/s Y
1.000000e-15 2.226244e+07 0.000000e+00 3.396987e-12 2.827330e+05 2.827330e+06 8.500000e-17 3.110063e+06 1.310717e+20
1.000000e-06 2.226244e+16 0.000000e+00 3.385486e-03 2.827330e+14 2.817758e+15 8.500000e-08 3.100491e+15 1.310717e+20
2.000000e-06 4.452488e+16 0.000000e+00 6.748127e-03 5.654660e+14 5.616501e+15 1.700000e-07 6.181967e+15 1.310717e+20
3.000000e-06 6.678732e+16 0.000000e+00 1.008815e-02 8.481989e+14 8.396422e+15 2.550000e-07 9.244621e+15 1.310717e+20
4.000000e-06 8.904976e+16 0.000000e+00 1.340579e-02 1.130932e+15 1.115771e+16 3.400000e-07 1.228864e+16 1.310717e+20
5.000000e-06 1.113122e+17 0.000000e+00 1.670126e-02 1.413665e+15 1.390055e+16 4.250000e-07 1.531421e+16 1.310717e+20
6.000000e-06 1.335746e+17 0.000000e+00 1.997479e-02 1.696398e+15 1.662513e+16 5.100000e-07 1.832152e+16 1.310717e+20
7.000000e-06 1.558371e+17 0.000000e+00 2.322660e-02 1.979131e+15 1.933162e+16 5.950000e-07 2.131075e+16 1.310717e+20
8.000000e-06 1.780995e+17 0.000000e+00 2.645690e-02 2.261864e+15 2.202022e+16 6.800000e-07 2.428208e+16 1.310717e+20
9.000000e-06 2.003620e+17 0.000000e+00 2.966591e-02 2.544597e+15 2.469109e+16 7.650000e-07 2.723569e+16 1.310717e+20
1.000000e-05 2.226244e+17 0.000000e+00 3.285383e-02 2.827330e+15 2.734441e+16 8.500000e-07 3.017174e+16 1.310717e+20
1.100000e-05 2.448868e+17 0.000000e+00 3.602087e-02 3.110063e+15 2.998036e+16 9.350000e-07 3.309042e+16 1.310717e+20
1.200000e-05 2.671493e+17 0.000000e+00 3.916723e-02 3.392796e+15 3.259909e+16 1.020000e-06 3.599189e+16 1.310717e+20
1.300000e-05 2.894117e+17 0.000000e+00 4.229313e-02 3.675529e+15 3.520079e+16 1.105000e-06 3.887632e+16 1.310717e+20
1.400000e-05 3.116741e+17 0.000000e+00 4.539875e-02 3.958262e+15 3.778562e+16 1.190000e-06 4.174388e+16 1.310717e+20
1.500000e-05 3.339366e+17 0.000000e+00 4.848429e-02 4.240995e+15 4.035373e+16 1.275000e-06 4.459473e+16 1.310717e+20
1.600000e-05 3.561990e+17 0.000000e+00 5.154995e-02 4.523728e+15 4.290530e+16 1.360000e-06 4.742902e+16 1.310717e+20
1.700000e-05 3.784615e+17 0.000000e+00 5.459592e-02 4.806461e+15 4.544047e+16 1.445000e-06 5.024694e+16 1.310717e+20
1.800000e-05 4.007239e+17 0.000000e+00 5.762239e-02 5.089194e+15 4.795942e+16 1.530000e-06 5.304861e+16 1.310717e+20
1.900000e-05 4.229863e+17 0.000000e+00 6.062955e-02 5.371927e+15 5.046229e+16 1.615000e-06 5.583422e+16 1.310717e+20
2.000000e-05 4.452488e+17 0.000000e+00 6.361757e-02 5.654660e+15 5.294924e+16 1.700000e-06 5.860390e+16 1.310717e+20
2.100000e-05 4.675112e+17 0.000000e+00 6.658665e-02 5.937393e+15 5.542042e+16 1.785000e-06 6.135781e+16 1.310717e+20
2.200000e-05 4.897737e+17 0.000000e+00 6.953695e-02 6.220126e+15 5.787597e+16 1.870000e-06 6.409610e+16 1.310717e+20
2.300000e-05 5.120361e+17 0.000000e+00 7.246866e-02 6.502859e+15 6.031605e+16 1.955000e-06 6.681891e+16 1.310717e+20
2.400000e-05 5.342985e+17 0.000000e+00 7.538196e-02 6.785591e+15 6.274080e+16 2.040000e-06 6.952639e+16 1.310717e+20
2.500000e-05 5.565610e+17 0.000000e+00 7.827702e-02 7.068324e+15 6.515037e+16 2.125000e-06 7.221870e+16 1.310717e+20
2.600000e-05 5.788234e+17 0.000000e+00 8.115400e-02 7.351057e+15 6.754490e+16 2.210000e-06 7.489596e+16 1.310717e+20
2.700000e-05 6.010859e+17 0.000000e+00 8.401307e-02 7.633790e+15 6.992452e+16 2.295000e-06 7.755831e+16 1.310717e+20
2.800000e-05 6.233483e+17 0.000000e+00 8.685441e-02 7.916523e+15 7.228938e+16 2.380000e-06 8.020591e+16 1.310717e+20
2.900000e-05 6.456107e+17 0.000000e+00 8.967818e-02 8.199256e+15 7.463962e+16 2.465000e-06 8.283888e+16 1.310717e+20
3.000000e-05 6.678732e+17 0.000000e+00 9.248454e-02 8.481989e+15 7.697537e+16 2.550000e-06 8.545735e+16 1.310717e+20
